Time,Pseudoproxy
10515,-3.832403192194377
10545,-3.8323819448860696
10575,-3.825496806656389
10605,-3.812230859703636
10635,-3.7909344216018788
10665,-3.7909344216018788
10695,-3.8070627684532283
10725,-3.9261507656240937
10755,-4.019253782528658
10785,-3.8695566356263917
10815,-3.8324244394834928
10845,-3.8324244394834928
10875,-3.8324244394834928
10905,-3.8324244394834928
10935,-3.8324244394834928
10965,-3.8324244394834928
10995,-3.8324244394834928
11025,-3.8324244394834928
11055,-3.8515816878612235
11085,-3.9794847916925775
11115,-4.056788503499373
11145,-3.9139789108062004
11175,-3.878931273490746
11205,-3.877171161952404
11235,-3.877171161952404
11265,-3.877171161952404
11295,-3.877171161952404
11325,-3.875983542579938
11355,-3.873841434946492
11385,-3.873841434946492
11415,-3.8739686943034677
11445,-3.9291980397134942
11475,-4.032109050819734
11505,-3.9306580526230803
11535,-3.915164619371172
11565,-3.915164619371172
11595,-3.915164619371172
11625,-3.915164619371172
11655,-3.915164619371172
11685,-3.915164619371172
11715,-3.915164619371172
11745,-3.915164619371172
11775,-3.9176205406048474
11805,-3.993269086388228
11835,-4.0656685157392545
11865,-3.969706377562016
11895,-3.930192551056372
11925,-3.928838312536655
11955,-3.928838312536655
11985,-3.928838312536655
12015,-3.928838312536655
12045,-3.9250291005111784
12075,-3.921938955132365
12105,-3.921938955132365
12135,-3.9312293374678227
12165,-4.036259182946246
12195,-4.120033585198826
12225,-3.982651878537588
12255,-3.9562888044595894
12285,-3.9562888044595894
12315,-3.9562888044595894
12345,-3.9562888044595894
12375,-3.9562888044595894
12405,-3.9400507613668196
12435,-3.801234010153596
12465,-3.7909344216018788
12495,-3.8217771437448995
12525,-3.98837267521769
12555,-4.054094383916219
12585,-3.9073081904735574
12615,-3.85985993167192
12645,-3.85985993167192
12675,-3.85985993167192
12705,-3.85985993167192
12735,-3.85985993167192
12765,-3.85985993167192
12795,-3.85985993167192
12825,-3.8602843785893235
12855,-3.904279273047081
12885,-3.985143022578523
12915,-4.063943275475136
12945,-3.9480866033596875
12975,-3.9253042308453665
13005,-3.9081765496617713
13035,-3.9081765496617713
13065,-3.9081765496617713
13095,-3.9081765496617713
13125,-3.9081765496617713
13155,-3.9081765496617713
13185,-3.9081765496617713
13215,-3.911924953294257
13245,-4.00333309895467
13275,-4.102814959579884
13305,-3.9814695489954737
